TID,criterion,judgement,original
N11584C,0.079655412,5.005299246,"I have four children [female name], [male name], [male name], and [female name]. I am a housewife and my husband is a painter and decorater I live in London in the West End in a masonette. My hobbes is gardening. My intrests is knitting and soreing. I  "
N11614R,-2.183751267,5.108251545,I would go to clubs and enjoy my self alot and go out with my other friends the same age as my self and I would get a job for myself in a shop and I will not get married.I would stop at my mothers house abd by a record player I would try to turn up for my job every day.I would by myself some clothes and and I would try to get in a football team as goalkeeperI would do my best to enjoy all my work  
N11651W,0.079655412,4.471346737,"I am 25 years old I live with my mother still and I am not married yet I work at the [company] as an Engenery supevisor on the Nilon plant. In my spear time I supevis game's on the playing filed and reper my car. At [company] I walk about to see that every thing is allright and give the aprentises jobs to do and they aske me the best way to do it and I have a micraphone buzzing all the time * to do this and do that insted of going backward and forward to my office to answer the phone as I have no secratery. I work shifts wich change as the days go by 6-2, 2-10, 10-6. In my spear time I supervis games. Football softball rounders on the spear days but If I am on shifts I am asleep or repering my car  "
N11746C,2.343062092,7.227524218,"Let`s start at sunday. This is my day for relaxing, so I get up at about 10 o'clock. During the rest ofthe morning I finish off any off Bits of office-work I have brought home. In the afternoon I do the gardening until about 5 o'clock when I settle down to read. After an eight o'clock supper I watch television until I go to bed.During the week i go up to my office in London where I work as a solicitor. This is a steady, well-paid job which can offer little bits of excitement, for instance last year I went to the Bahamas on business. Then comes Saturday, I go to the shops in the morning to buy and listen to pop records, and get some food. In the afternoon. I play for the local cricket or soccer team whichever season it is.Sometimes on the evening s I go down to the local pub to have a drink. Occasionally I have a party and invite friends in, and sometimes I am asked out myself. As I am rather lazy about hosew**e etc, I have a person who comes in and cleans, a washing machine and a dish washer both of which I had to save up for. I am a strong supporter of Spurs and Middlesex. I have a La*cia for a car but drive carefully in it as I hate young men who buy a car and then drive recklessly in it. By the way every so often I nip up to (place) and (place) to get some clothes.  "
N11792J,2.343062092,5.067552393,I am a part time short hand typst I enjoy doing this work I am married and have two children a boys and girl I when I am at work their grandma looks after them. My husband work in an *office where I work. We live in a three bed room house in **** I go out on a thursday night to bingo. somthing I do my friends hair. My hobbies are hair stiling sewing ritting* and ballroom dancing. I dance for the North west in dancing tourniments I drive a grey minie car and my husband has a light green viva I have a neiece of 17 who comes and baby sitson thursday. My mother lives at **** so I just pop round for a few miniets each day to have a natter. on daturdays afternoons I go to sewing class. On saturday morning I go to **** or **** shopping.  
N11819C,0.079655412,5.780291594,I am 25 years old and I am married .I have 1 child age 1. I live in a cottage just near (place) . The cottage has two rooms. It*also has a kitchenette and one bathroom . I use cookery utensils a lot. I would like to live happily with my hus band and child . about two years later I should have a son. My daughter should grow up and stay on at school until she is eighteen . When my son grows up he will j oin the army and mayby he shall get a med al for bravery. My husband is in the army as well. He is a general now. When my daughter leaves school I would like her to be a secretary in an office . I shall soon save up for a car. I will learn to drive it . Soon my husband will be coming home from the army. He will bring his son with him . I forg ot to mention there names son = (name) daughter = (name) . My husbands name would be (name) . When (name) **** or comes home I would like him to be a corporal. Mayby my daughter would get married and have one child . (name) may get married also. When I die I should like to get buried beside my mother and father. My husband will have retired from the army because of old age . I would like him to die about two years later than me. I would like my daughter and son to die at a good age.  
N11848H,-2.183751267,5.602033912,"I live in a council house with my family. It has two bedrooms a bathroom a kitchenete and a lounge. It isn'nt very big but it has plenty of room. I have two boys , a girl, and a baby. Their names are (name), (name), , (name) and the baby is called (name) . (name) the eldist is very mischievous but the other two are very shy. My wife is twenty - three , but she has not got a job yet . I work with a small firm near my home in (place). I am an electrician and I usually mend household machinery , for example radio's , washing machines, electric fires , and many others. I had no accidents with any machines yet .I have four main hobbie s ,- Tennis , football , model-making and reading. I usually play tennis with my friends at the tennis courts near my home. I usually play football with the other electricians during tea-break. When i come home from work I usually build model ships or planes. If it is raining and I can't get out to play tennis Iread, my favourite books . My favourite book are westerns .I do not work on saturdays , so I take my family a run in my car . I usually take them a run but sometimes go to the zoo. When we go a run in the car the children usually want to take a ball. We let them play football or whatever they want to play when we finnish our tea .  "
N11874K,0.079655412,6.597523955,"I am twenty five years old. I work with horses at a riding stable near [town]. The thing I like doing best in my job is feeding the horses and riding them. I have a horse of my own and his name is falla. I have a sports car of my own but I don't go out in it very often. I uselly let my mother borrow it. When I left I went to work strait away. I am not married or engaged. I live with my mother and father in a bungalow next to the riding stables. I am very happy living at home. I don't work Sundays but I do the other six days of the week. My father own's the riding stable so I can keep falla there. Falla is a show jumper. My mother does not work at the riding stable but father does. My interests are riding, swimming and drawing. In my spare time my friend the girl I work with, and my self sometimes go to the swimming baths which is two streets away from were I live. At the deep end it is 18 foot deep and at the shallow end it is 3 foot deep. I enjoy swimming but I only get the chance to go on a night*. On a sunday if it is fine my mother, father and I usally go to my mum's sisters She lives at [town], her name is [name]. She has a son 29 years old.  "
N11905Z,0.079655412,6.007599346,"I am 25 years old and I am marrid and I have four children the youggest is [name] he's 1 year old. the seccond youggest is a glir she is called [name] and she is 3 years old then comes the seccond oldest he is 10 years and then the oldest hes 12 years. The job I wanted to be was a trin drivver but I could not get a trin drivvers Job so I picked up to be an engerner and go it. my wife is nitting teacher only two of* my children go to school so my wife puts them in a nerserer when she go's to work. I live in a big cotteiges and it has four bedrooms. My life is a happey one becaues I do all the things I want to do. I am interested in being a footballe player and the persoion I want is senter half. Also at home I collet stamps. The road I live in is called [road] our garden is half an accore lone. My two sons have improved on thir writhing and thir knowkleged. I have a car and it is caulled a Sitren. also I have a everygreen tree. I have a of ENCYCLOPEIAS. and I like redding books. I have lots and lots of flowers in my garden and my son which is 10 years old makes a study of them I make bits of lorres and cars and all sorts of things connectid with enegerners. I have lots of frinds which I like very much. the boss* says that I am improving with my work. the number plate off my car is [registration number], and that most of my life my interests my home my work.  "
N11959P,0.079655412,6.07487674,"""I am 25 and I'm an Astronomer. I am married and have one child I am at the labotory and studying the stars with my pal, he said, """"Hey look at this through the telescope,"""" """"It's some sort of space ship I think it's from planet we found a week ago"""". """" It must be. he replied It' slanding right outside the labotory quick let's let's go *and what in it. """"Oh no it only a toy one it's* one of them spaceship the proffessor made"""" he replied. Oh well I'm going home then. I got home and said what's for dinner she said steak and chips so I ate my dinner and went into my study to look at my stamps as It was one of my hobbies and I went to bed. The next day I got up and read the papers I found that my friend had been put on trial for stealing some equipment from the lab.""  "
N11987T,0.079655412,4.32304632,when I am 25 I would like to work in a shop. the reason why I would like to work in ashop because I play with my brothers and sisters at shops at home I would like to work in a grocers shop. And every saturday and sunday I would go out danceing. If I can't get a job in a shop I would work in a factory  
N12012Z,0.079655412,5.771901321,"I am married although I have no children. We live in a bungalow in [civil parish]. I have a part time job, working in an office in [surname]s. I go to work in the afternoon and so I clean the bungalow in the morning. One day I hope to leave my job and bring up a family instead. My interests lie in dancing, and every Saturday evening my husband and I go to a dance. I can play the piano and recorder. At home in the morning when my husband is at work my job is to make the bed and sweep and dust all the rooms. Then I make the dinner. I arrive at work at about 1 o'clock. In the office there are about ten other woman all typing out letters like me. When I arrive home I start to make the tea. My husband arrives home about six. After we have had our tea and washed up we sit down and watch the television. While I watch television I do knitting. At the moment I am knitting a jumper for my husband. On Sundays when the weather is nice and it is not a special date when we go to church, we go for a drive in the country. We take out tea with us and we picnic by a lake. Here we stay until about nine o'clock when the sun is just setting. It is a wonderful sight.  "
N12045J,0.079655412,4.086129701,It is my 25th birthday and I am going to have a partey and. I am getting read for it so that iit will be a good one not like the last one and to morrow I am going to get my new moeter bike and after that go and join a moter cicling club. I am a masknick so I will be all r***it if enay thing Goes rong. I am a sout leader I like to go camping and so do the scouts* we go on I**is we are the 18th woodhouse. At home my hoBy is swimming and moter bicy Rasing I have had only one reley bad hasadet and that was when I crated my skull and was in hosptal for a week that was when I was 18.  
N12071L,0.079655412,5.002400471,"I would like to be a short hand typist or a dress desighner. I Would like to Work in a office typing letters by short hand, I would take typing lessons before I took my Job I will learn typing in my new school, at twenty five I supose I would be Married and may not have a Job I may Just stay at home. I would lead a happy home life I may have Children, I may have some Pets a dog a little one, We did have a dog but We Could not Keep it so I have always Wanted a another one. I would enjoy my home life very Much as I like helping a bit at home I Would like to live in a house of Masonette I would still like to live in Stepney very much I may Not have a big family I would Want to have two to three Children. I would not like a big house at all or a small I would like to live the same type of house as I live in I like Coocking as I watch my Mother Cook but I have never tried to cook enything Properly myself. I would like to have my machine so I Could learn to make Clothes for my Children & my self. My intrestes would also be Knitting because I like all diffrent Kinds of needdle work & hand Work Making thing I have never tried to make enything for Myself yet I dont think I could but When I am older I supose I will be able to. I Would buy my self a washing machine so I would not have to do so much washing. **ong I dont mind I would like to irion, I would not like to have twins, I Would like to have two girls. I would dress them the Same even if they were not twins. I would name them [name] & [name]. that what I would like to do & be when I grow up.  "
N12099Y,0.079655412,4.339901377,"My age is 2 5 and I am a hairdresser at one of (place) shops in (place) . I like my Job and I get good wages about 15 pounds a weakI like Swimming, dancing, cooking and sewing. I am the cap*ain of the (place) . I like animals, especially hamsters and cats. At the week ends I like to go picnics and hikes with the Guides. At nights I go out to the central cafe and sometimes to the dancing. Some night I just s*ay at home and watch the television and do some sewing. I am interested in S kating and on the holidays I go up to (place) ice rink and have a go at it  "
N12122E,1.211358752,5.18627734,"""My name is Dr S.I. [surname]. I have a family of 3 boys and 1 Girl.""""Well then I better be off!"""" I said """"bub-biy. I going to try to find out if any diffrentatim* is formed in the proces of making papper. It may seem to be Rediculas, but its important to now about atoms. If we dinent we would be* nowehere. You can gess that my garden is in Good shape. tomorow I will be on holliday. I own a hovercarfart The uthere week I won 200* pounds from the prem bond.""  "
N12175T,0.079655412,4.94588995,"On a morning I would get up about 6, O'clock and get my husban'd breakfast ready. When he had gone I would wake the children (prefferably two) and get them ready to go off to day nersery. Usually they start crying but today they didn't. When everybody was gone I would get my breakfast. At about Ten o'clock I would get ready to go to the town. Usually the streets are very crowded and you have to push your way through to get to a counter Then it takes you about half and hour for the girl behind the counter to serve you. So by the time I get home I am thankful for a cup of tea. after dinner I do a bit of kniting for half an hour and then I do so mending. After I've done that if there's not much to do I get out my sowing maching and start making a dress or somthing for a Teddy Bear or for a big doll. If I make some-thing for one of them I've got to make something for the other one or they will cry all night. At 3.40 I go to the day nersery to collect them. I don't send them to the nersery by themselves because they come round to collect them in a minibus. At 7.30 my husband comes home.  "
N12234M,2.343062092,5.267576547,"Some people think I am nice and some think horrible because I am a policeman, my lodgeing are just outside London in a little village. Each morning I catch the 6'o'clock bus and off to work I go I usually arrive in London at about quarter to seven I than get the tube to the police HQ. It is a quiete tiering job walking all the time and controling the traffic, work ends at six at night and I get the tube again and then catch the bus home, when I arrive at my lodgeings there is a hot meal waiting for me on the table, I don't go to work on Saturday or Sundays I usually take my bike and set of for a picnic in the wood or else I would take a bus and go to Birmingham and whats going on. Quiet often on a Saturday I will go home to [village] to my own home I usually stay there Saturdays and Sundays. A very serious accident has happened and I am the nearest one there and this is on a Saturday my holiday so I have to attend the accident. The Sergent rang me up and said I you attend the accident today you will not have to go to work on Monday. My main intrests are still coin and stamp collecting and this is how I expect my life will carry on.  "
N12271S,-2.183751267,5.27766968,"I would most probly go to evening classes for swimming dress making and other things. Before I went to evening classes I would get the dinner on. On some nights I'd go over my freinds house to have tea. I'd work in a office from 9.30 to 5.30. On Sunday's I'd go out to the pictures or to a show. I would be home at about 11 o'clock so I would not get up late for work the next day. For my work I would do petty cash and work on a typewriter. On a Saturday I would go to a market like [road], [road] or [town]. Indoors I would look at my stamp collectcien and my coin collectcien. I might get some mateariel on Saturday and make some clothes for myself and I'd get up early every morning and make myself a big breakfast. Of a Saturday morning I would work in a shop. I might take a baby over the park on a Sunday morning if it was sunny. For my holidays I'd go to a holiday camp with some frenids. Or I'd go to my nan's in [city]. Some times I'd go down to [town] for the day or weekend.  "
N12291W,0.079655412,5.01783461,"I emagrated* to Astrala* last year. I have have a small farm* just outside Sidney. I have 250 acres* of land and on that I *****ly plow and ceep animals on. I go into Town (Sidney) about twice a week mostly to get ca*** and hay, my wife does all the Shopping. So I don't have to worey about that. We have two girls one is twelv and the other is ten. [female name] the oldest has just got to the stage of pop and Horse rideing, [female name] the unger one has just finished her first play with the school and she came in yesterday saying that* the c***** teacher* said that she was the best of all we have just got over the worst summer* for years. The sun was so hort - that it dride* up all the ***nds and all the crop*. 500 sheep and 100 cows died* with lack of water and we almost dried up as well. But we seem to have* got over that and we are all back to normal a gane. The two Children went back to school after the summer* holladays three weeks a go. The road* is* very dust and one of [female name]s* frends was injerd with a doged* up thought* from the dust. I miss the football a lot but U have plenty of cricket*. The school is about three mailes away its only a little thachd place but it only cost two pounds every three weeks. There isnt so much feild* in England there is only a pinch* comperd to here well there isnt much more to tell so good by.  "
N12338U,-1.052047927,5.76313435,"I like staying at home and hardly ever go out at night. I help my mother in many ways. I dont like wearing mini skirts. I maybe go out night sometimes. I dont like pop music very much. My hobies are drawing, painting, and reading. I like washing and drying dishes and doing house-work I somtimes help my mother to paper the rooms. I am going to be a school teacher when I grow up, and I hope to visit many foreign countries.  "
N12369B,0.079655412,5.97852497,When I am 25 chemistry is important to me because it is what I am going to do. (I hope) I would live in a semi detached house with three bed-rooms. I hope to have a family and only two children. I would leave my children in the care of a redistrad child minder while I go to work. I will learn to drive and have a car. (a Estate car if possible) I would come home from work at half past 4 and get tea ready. I would pay the child minder _3 a week. (or 3005 because of the decimal system) When my children go to school I would help them a little bit (not to much) with they home work at weekends we shall go down to the forset. (on Saturday_ and have picnics. For birthday treats I will let my children pick were they want to go I would let there imagenation ran free and won't laugh at them if they belive in fairys I will let the pick there own holidays. (as long as there not to expensiv BUT I wouldnt let them run to free. I would care and look after them untill they are to old to be looked after when they have a family I would help them all I can I would'nt fuss to much at all. and I'd let them had a wonderfull and exicinting life.  
N12439Y,1.211358752,5.262203449,"At half past seven every morning I wake my husband and I go and make the breakfast. We have a quick breakfast of, a boiled egg. cereal and a cup of tea. After I have washed up I get ready for work. I am a teacher and so I just wear a simple dress, (an easy one to clean incase I spill anything down it). My husband and I both go out together, he is a bank clark. My husband goes by train to work and I take a car. I wave goodbye to [name] my husband. Once I get to work it is ten to nine. I have second year infants. The bell goes and nine o'clock and the little ones come in, at break I go for a cup of tea. At noon I go home for lunch. A simple lunch of a salad sandwhich. I go back at one o'clock and start lesson's at half past one again. The children go back home at 3 o'clock.       When I get home I make myself a cup of tea then I vacume the lounge and the dinning room. Then I start on the dinner. By this time it is about 4 o'clock. [name] gets in at half past* five. After dinner we sit and watch the telivision. At about ten o'clock we go to bed.      The next day is Saturday and so we get up late. After breakfast my husband and I go shopping. Both [name] and I like lots of fruit. After a quick lunch we go over to the park for a walk. Then we come home to a quiet evening. I sit and knit and [name] has a sleep. At about nine I go and make a supper. After supper we turn on the telivision and then at eleven o'clock we go to bed.       Sunday, we don't go to church, only sometimes. We have a big breakfast, and dress in warm clothes as it is a a cold day then we go for a long walk.       We have a good life together.  "
N12473A,0.079655412,5.901829885,"I am a part time house-wife with a boy of 3 and a girl of 2 their name's are [male name] and [female name]. If my husband and I want to go out to a dinner and dance we ask their granny to baby-sit, we dont come home to late but sometime's, they sleep with their granny. If I go out shopping I take [male name] and [female name] in the push-chair, If I want to go down town my husband [male name] takes us in the car. [male name] erne's xxxx20 a week for his wage's, theres enough for groceries and for the holidays to put away and a little house keeping money. We live in a masinet, it has 3 bedrooms, 1 living room, 1 dining room, 1 bathroom, and quite a large kitchen. [male name] and [female name] go to bed at 6 o'clock, when they are in bed [male name] and I watch television, read books or on Friday we sort out [male name]'s wages. Before I married [male name] I was a hair-dresser or some-times I helped in my father's shop. I liked it as a hair-dresser, infact I wouldn't mind going back but I have to look-after [male name] [female name] and [male name]. [female name] was born on the [day] of [month] and [male name] the [day] of [month], [male name] was born [day] [month] and I was born [day] [month]. I let [male name] and [female name] have friends to a birth-day party. For our holidays for this year we are going to New Jersey. There is a Hotel to stay in and some-one to look after [male name] and [female name]. Last year My sister came with us and brought her family. she has 2 girls and a husband. I enjoy looking after my own family, it is a very nice life.  "
N12503P,-1.052047927,4.965055657,"I would have a job possibley an engineer and married, I would lead a happy and normal life. My interests would be fishing, football etc. I would be bringing daughters or sons up and paying bills like the rent, insurance, waterates, electrisity. When I had payed for the house and there was only the insurance and waterates left, I would save up for a car, (second hand). I would lead a normal life.  "
N12539B,0.079655412,5.602455392,I have a houes in a big City my occupation is a docter I have a wife and our houes is not a verey big houes. It has two bedrooms it has a garge with a door liding itox into our houes. I get calles from all over the City so I have a car. My frend [name] is a doter so him and his wfx wife and my wife go in to the cuntey side and have a picnic. I had a verey serious ills on my hands yesterday it was on old man he had claped in the midel of a road and a car reley hit him on saterday we are going on our holdays we are going to go to span. It was onx saterday and we were packed redey to go when this letter came thogth the letter box and it said that I could not go on my holdays becaues I had to go to London on bissnes so unpacked our things and I got  
N12562A,2.343062092,6.470888623,"Every week day I go off to the school where I work. When I get home I cook myself a meal. Some times I sit down to eat and listen to the raidio. Other times I make small modles to decorate my house with. I do alot needlework Making things such as cushion covers, tray cloths and dresses.At the school I teach ten to eleven year olds. I like working at the school. Every morning I have my breakfast. and get out my car and drive to school. If it is nice at the weekends I go out for a walk up in some hills for the day, but if it is wet or cold I stay at home. Sometimes I cook a cake. Othertimes I do some washing.Out of my pay I put about an eighth of it in the bank to save for a holiday.I am leading a happy life. sometimes I go and sit in the garden and watch the birds coming to eat the scraps which I put out for them. I have a medium sized garden and a gardener who looks after it for me.  "
N12616X,0.079655412,6.099411742,"I am marride and have one child who is two. I have a nice job as (part time) as a secretery for a doctor. [name] my little son is a little mischief, he gets up to allsorts of tricks. My husband has a half time job. During the day I have a baby sitter called [name] to look after [name]. During the nigh I tidy the house, Iron the clothes, and wash. My Interest are needlework, reading, and stamp collecting. I have rare  stamp wich is work over 300 hurdred pounds. On sundays neither my husband or I work. we sometimes go and see our parents and help around their houses. My husband likes gardening he has won 5 prizes for his tulips. We hope [name] will go to [school name] C.P.S. when he is old enough. [name] is a very good baby sitter. She washes the nappies for me. She baths him feeds him takes him for walks. My husband and I are thinking going to Spain next year our holidays. It will be a change from going to [town] every year. It is Christmas time now and we have to go shopping. We are going to buy [name] a bus and a tractor so that he can ride them. We are going to buy my husbands parents a table and my parents a lamp shade as they have not got one. We are going to buy [name]s cousins some book each as they can read. We are putting up the Christmas tree, [name] is helping putting on the tinsil on the bottom. It is only 3ft high but it will look nice when it has finished. We will put up Christmas decorations in the house. On christmas morning [name] woke up and wonderd what all the things where at the bottom of the cot. We told him to open them. In no time at all he was riding the bus and tractor in turn. He really did enjoy pulling Christma crackers. From my husband I got a nice gold watch and a necklace. I bought a watch for my husband. At three o, clock we went to church for an hour. At four we had tea and at 5 we watched telivision untill it was time for [name] to go to bed.  "
N12640X,0.079655412,4.359734809,When I am 25 years old I shall have a flat all to my shelf or I shall have a flat-mate. With I do not no yet I shall have a nice job. to go to and so nice frends to speak to and have a cup of tea with and I shall have two [illegible] in the flat I shell work in a facertory and if i love that I shall work in a shop and help people when they want help of me and I shall never get married and have a child I might adopped one or two. if I feel like it when I am about 65 or 61 I shall retieer and at the week-ends I shell go and see my mom and sitters and my bother at home [illegible section of fiche]  
N12672F,0.079655412,6.470031947,"""      I am twenty-five years old I am six feet with dark-brown hair and dark-brown eyes. I am very handsome.      My occupaition is a Sytems Analist my degree A.B.C.S.. I programe computers. I have had a most frightning expirience when I blew up a computer by mistake I was told to put a punch-card in a different place to where it should go and all was going well. We thought we [company] had beaten all he other companies to a new type of computer. So we went to lunch and celebrated. One of my freinds said """"Dont . count your chickens before they've hatched"""". I said """"Ha"""" and . we all laughed finished our meal and went back to see what had happened.      We came in just in time to see it blow up. We rushed back broke the fire-alarm and got every body out of the building.      The firemen arrived just in time to stop the explosion doing too much damage. It was nonsencical, for what reason did we do it. To show-off seemed the most stupid reason, but it was for that.       I wasn't blamed, but it was on my consionce for my life up till now.      Soon I hope to set up a new life in Israel. I have learnt the language Hebrew since I was four years old and will carry on learning it.""  "
N12712W,0.079655412,6.608805527,"I marryed with three clid children I work at [town] IBM computter complexed I am a cheif electrionics enginer and get xxxx10,000 ayear the Job is very interisting looking after computters and intercoms. I get two weeks holidays ayear and the bank holidays off too. I have a green Rovver 2,000 famile saloon It is worth xxxx1,000. I am a member of the British Electrionic Enginers confedirayion. I have ten olevels five alevels and two City and Gileds Cetificat of electrionic enginering. There are many clubs at work I am chairman of four of them. My wife and I have been married for two years [name] the oldes is 2 years old [name] is 1 1/2 year old and [name] is 1 year old. I go golfing an suday My Par score is 15. After a game I have 1 pint of beer and a packed of crisps I make models for local comption I have won Ten firsts 15 seconds prise a 23 thrids. 50 forth. I am also a member of a gardening clubs and I have theree gardens and Two elotments. I hope to become maniger of the compled.  "
N12740A,-2.183751267,4.702584077,I am a football playar I am playing for [football club]  I an playing at left back I play at [football ground] I hav got an house just near the club so that I do not hav to travale so far for traning I em marid and I hav got two children they are both boys I hav got a car and a fish and chip shop I have played three tines for England and went to [football ground] with [football club] in the f a. Cup final. I have made the best atendance in the Club so far this season. I have sckored twise this season end one disalowed.  in my spare time I go fishing and wotch the Telly Vishion both of my children wante to become football players when they grow up one one of my childrens names is [name] and the secund one is [name].  
N12757K,0.079655412,4.736911197,I am taking exams just now for domestic Science and I hope I pass them I am getting married in August to a boy I new a long time ago. I do not live with my mother any more I am living in [xxxxxxx] where I am taking exams. So I have to do all of my cooking myself don't often buy dresses and cardigans I usually make the myself. If I do pass the exams I will probably go to [school name] grammer school and teach there for a few weeks and then I will come back to exams and if I pass them I will probably be a teacher. if I dont pass then I will just have to try again or try for another job  
N12788S,0.079655412,5.677189062,"When I am 25 I would like to be* married and have two children I would like these to be one boy and one girl. I WOULD LIKE TO live at [town] and I want to live beside my mother. When both my children start school I want to start a part time job. I want to live in an ordinary 3 bedroom house with quite a big garden and I just want to be a normal person. Before I get married I would like to stay on at school and be in the rounders, netball and hockey teams I would like to be very good a sport. I want to be very good at making things IN NEEDLEWORK and before I get married I would like to work in a dress shop WHEN I AM ABOUT 28 or make cloths. At school I want to be very good at cooking so that when I am married I will be able to make some good meals for my husband and children. If I am good at needlework I will be able to make clothes for them. When they start school I will go out on Saturday nights and will work through the week. I want to have a daughter who is very modern and does not like fancy dresses and things like that. And I don't want my son to be a sissy. I want to rich enough to abroad on our holidays every year. When my daughter is old enough I would like her to be in the netball and rounders team because I am very interested in netball especally. I would like to work as a typest before I AM 21 and work in a factory after I get married.  "
N12823C,0.079655412,4.312503014,"* I were 25 I would like to work as a air hostess and live in a flat I would like to travel** sout**** amicar* ter***** hom days of, and meat lofs of frinds* and goe* and see my mum and dad and g** ballroom dancing like I do kno** out before i am 25 I would like to stay training ballroom dancing and be grate when I grow up, and when I go ballroom dancing I would like to goe in a pink with blue fr*ll on my b**** when I do *ance I would like to do the ch**** and the works and the sakes and c**p.  "
N12850F,0.079655412,5.252128506,"I am working in an office. I am married I like doing the cooking and house-work. I live in a nice home all furnished. I got married when I was twenty-four. My job is a secratry. I go to work at nine and finish at 4, o clock afternoon. I like making dresses and skirts for my-self and making blouses. I am intrested in cooking cakes and always buy some cake mixture. I make speical dresses for my office work, I like it very much. I have to type letters out and short-hand. I get good money doing the job. It is sometimes hard work when I get home I,m very tied and I am not so happy I,m Gressly. When I have children I will probley not work. I get up at 8, O clock in the morning at 8.45 I catch the bus it takes me 15 minutes to get to the office. I am quite Punctual. I go to work monday to saturday have sunday off. I have a rest. I enjoy my work very much.  "
N12879U,0.079655412,7.081542728,"Im married now in twenty five years of age and Im a veteran sergeon. I engoy my wark at home and at work Im very happy like my mum and dad I have two children who both go to school and ones six the other severn I love animals very much. I have a big house with six rooms upstairs and the same downstairs, I have two cars one is a very big rivera the other a morris oxford so I am very happy with what Ive got. I have a lot of money in the bank. I am clothed well and. so are my family I have two garages and at very big front and back garden apples and pair tre** in the back a small pond at the front of my surgery there is a very big car park where the cars paod* in with there patients there is a sitting room aswell.  "
N12903B,1.211358752,5.257311851,"I would like to be a poilicman and have a big house With lawns and a garden and for hobes play football for a team. I also would like to drive a lorry * I would also like to go bird nesting and look for Robins, Blackbird, Blue tit, Pigeon, sparrow and lots of others. I would also like to grow an orchard With apple trees orange trees plum trees and a wild straw berrie bed andblackberry bed. I would also like to go scramble through fields water Jumps and up muddy hills.  "
N12937M,0.079655412,5.995683889,"I am 25 years old I got married a year ago I have two children one is a boy and the other is a girl there names are [name] and [name] we live at [address], my children both go to school and I have a Job I work in a ofice has a short hand typist I am a Secratary my Manger's name is Mr [name] I like being a short hand typist because you alot of typing and short hand. I get good money evey week and so dose my husband so we have no dificates my husband is a footballer. and plays matches every week nearly. on Sundays when we are all free I don't have to go to work and there is no football matches we like to go out and have a picnic that is my husbands hobbie. but the children enjoy it and look forward to it every week what intrests me most is is sport like netball and basket ball and rounder so some weeks we go to the sporting club and while I are playing netball and other things like that the children and my husband play golf on the golf field then home we go then Monday morning we get the children to School and go to work Monday and Tuesday and Wensday of the week are not so busy but to the end of the week it gets very busy and there is a lot of work to be finsh*d of but I manage very well in the end the times of work are start at 9 o clock in the morining lunch at 2 o clock so I go home becaise I have to cook * for my children. and so I have an hour break an then must be at work at 3 o clock again and I leave at seven but my next door neibour looks after the children. so I work quiet a while so when I get home I cook tea put the children to bed and play records till my husband comes home at about a half past nine.  "
N13008H,0.079655412,5.178622975,"I am in the army and we are having a test. I like it in the army. I'm interested in gym and tank driving. The work they give you is hard but I like it. The marching we do is nice and we are all training for an operation. We have to cross a river get passed eviry tanks and then get in lots of boats. We have some hobby mine are sport, gym, swiming, moter cycling, and running. I am training to fly and I have just learnt to use a parachute. In this training we have to be dropped from a plane into a deep forest then we have to split up and **** way out without hardly any food and water Then we have to find out way back to the barracs without being seen. The beds are hard but you have * get use to that. We have games and lots of running Yesterday were were about to see our wifes and children.  "
N13027L,0.079655412,5.241031237,"I am twenty five I have my own house in the country and a dog and a car. Evrey morning I get up at half past seven and go and collect the milk put the fire on and the kettle then check the dog has fresh water. Then I lock up and get the car out of the garage and go to work. I work as a Secratery in a office for a vet and work from nine oclock to twelve then have samages then I work from two oclock to seven oclock. Then I go home agene in the car and give the dog some more food then I watch television to half past ten then lock up and go to bed. I do this evrey day epcept Monday wene I go shoping and wash my clothes and Sunday wene I take the dog for a walk and go out in the aftanoon, to see my mum and dad then come back clean the house and make my tea and wash up then watch televion to eleven oclock then lock up and go to bed.  "
N13068V,0.079655412,6.596513203,"My interests at the age of twenty five, are dancing, every fortnights. In the mean time I work at a hospital. My job is a phisiotherpy which is very interesting. I masaga peoples backs and any thing that has been broken, and is getting better. It also execises my hands aswell , and I never have any trouble with them. You do not get bored with it at all, and do not have to much time of it. Then in my holidays I would travel around the world, and then get married. I would get children, and always visit my parents. There we would have a happy time till we would go back home again. My home life is nice aswell, I take the children out for walks, which they enjoy very much. We go fishing down the river, and we wouldn,t come home with out a fish. Then we would study them, and put them back where they belong. Now I only go to the hospital once a week, but soon I will be leaving. I usually meet my husbands friends which really are mine to, we would all go out together and leave the children with a baby sitter. We would go to the pictures, and see lovely films and we all ways would want to see Sidney Potias films, which are tremendously good. He was a very big star, and will all ways be. I live in a fairly big house which is very fashionable. I have three children which are darlings. Two girls one boy. Though the little boy all ways finds youngsters like himself around the estate. My husband is a general of the Navy, and is twenty six. He has studied ten years. Before I married I went to college where I was taught phisiotheping I liked it very much. I found that radio phisiothping was dangerous, and I did n*t seem to like it. I left school at the age of eighteen, on my own accord. I worked in Manchester, [town] and then went abroad, Where we live now. I have only been to Ireland three times as well and thought it was so exhilariting, in the part I was. I fished every day and came back then to the hotel in which I was staying. The chef would be saying where did you get those from, as if surprised and then would stay they would make a nice meal. Then I would live happy ever after.  "
